Brand_Name,Tweets,Date,Reply,Repost,Likes
Apple News,RT if yo love it!!,2014-09-09T17:11:34.000Z,86,1600,600
Apple News,One more thing  : #iPhoneX #AppleEvent,2017-09-12T18:19:50.000Z,7,230,530
Apple News,It’s the most incredible iPhone lineup yet. #iPhone6,2014-09-09T17:44:47.000Z,39,841,412
Apple News,-RT- if you are planning to get  #iOS7  today!,2013-09-18T17:17:12.000Z,147,893,409
Apple News,"Best #iPhoneX stories

 https://twitter.com/i/moments/908324349031182336…

#AppleEvent  #iPhone",2017-09-14T14:28:13.000Z,,,
Apple News,"iPhone 6 Plus starts at $299 with a two-year contract. It comes in gold, silver, and space gray",2014-09-09T17:46:51.000Z,31,673,368
Apple News,[RT] If you're going to buy the #iPhone5 .,2012-09-12T22:19:16.000Z,97,885,350
Apple News,These are the thinnest iPhones ever made .,2014-09-09T17:17:42.000Z,28,787,355
Apple News,Apple officially unveils the iPhone 7 http://applenws.com/apple-officially-unveils-the-iphone-7/2016/thenextweb…,2016-09-07T17:17:30.000Z,8,242,271
Apple News,Apple Watch ..!!! Love it!!,2014-09-09T18:03:17.000Z,33,470,257
Apple News,Do you love this thinner an taller #iPhone5 ?,2012-09-12T17:58:25.000Z,29,289,152
Apple News,#iPhone7 will be available on September 16 http://applenws.com/the-iphone-7-will-be-available-on-september-16/2016/thenextweb…,2016-09-07T23:36:05.000Z,2,103,134
Apple News,That is Apple Pay. https://vine.co/v/OzXWdbeF1Zu,2014-09-09T17:49:10.000Z,,,
﻿ASUS," ASUS CES 2024 Launch Event  

The time has finally come! Experience a whole new world of incredible tech at ASUS #CES2024!

Don’t miss our big reveal  #ASUSLaunchEvent 

Visit our event site: https://asus.click/ces24_twls",2023-12-22T07:24:03.000Z,27,41,175
ASUS,"Meet the Best Small Phone #Zenfone9!
Thank you 
@MKBHD
 for this award 

#MKBHD #BestSmallPhone #CompactSizeBigPossibilities",2022-12-28T13:00:01.000Z,199,361,8300
ASUS,"We would like to address the rumors regarding our Zenfone product line:

ASUS Zenfone 10 will not be our last Zenfone product.

We will continue our two main phone product lines: ROG Phone and Zenfone.

ASUS has a strong commitment to our smartphone business and customers.",2023-08-29T06:31:20.000Z,363,1000,7400
ASUS,Behold!  The destination of our journey is now close at hand. Join us LIVE  at #TheIncredibleUnfolds #CES2022 #ASUS Launch Event to discover everything that awaits. https://twitter.com/i/broadcasts/1YpKkZPlwPExj…,2021-12-07T15:14:04.000Z,,,
ASUS,,2022-03-14T10:40:01.000Z,136,459,2500
ASUS,Review our newest products introduced at #COMPUTEX2018. #CreativePower,2018-06-05T10:00:00.000Z,48,506,1800
ASUS,We've saved the most incredible highlights of the #ASUS #CES2021 #BeAhead virtual launch from the best laptops to displays and projectors. Watch this video to get the latest updates! https://asus.me/ces2021_tw,2021-01-13T18:10:00.000Z,47,170,1800
ASUS,"Zenfone 10 - Best Compact phone 2023  - Thank you 
@MKBHD
 !",2023-12-20T10:45:27.000Z,38,89,1800
ASUS,"Explore the pinnacle  of what we've created for our new laptops. Watch it LIVE at the #ASUS #ThePinnacleOfPerformance launch event! We're just inches away, why not join us?

#ASUSLaunchEvent https://twitter.com/i/broadcasts/1ypJdEmlYDqxW…",2022-04-26T12:36:51.000Z,,,
ASUS,"Here’s a pocket-sized highlight to take with you! ;)

Know more about: https://asus.me/ZenFone8_TW

#Zenfone8 
#BigonPerformanceCompactinSize",2021-05-13T12:00:01.000Z,71,168,1500
ASUS,"If you could run our Twitter page for 1 day, what would you tweet?",2022-11-11T03:44:28.000Z,,,
ASUS,"The ultimate #ZenBook Pro 15 with the sensational #ScreenPad, which you cannot miss. #CreativePower #COMPUTEX2018",2018-06-11T14:00:01.000Z,37,141,573
﻿Dell," Attention please!  The moment you've been waiting for is here... Say hello to the XPS 16, the XPS 14, and the new XPS 13",2024-01-04T16:18:43.000Z,191,73,283
Dell,"Replying to 
@twix
 and 
@twitter",2021-10-04T21:41:22.000Z,81,478,15000
Dell,"Replying to 
@Starbucks
 and 
@twitter",2021-10-04T21:06:06.000Z,39,264,12000
Dell,tech,2022-09-01T22:38:10.000Z,,,
Dell,"Replying to 
@Starbucks",2021-10-04T23:02:38.000Z,9,47,3000
Dell,#GagCity is where we accept all the cookies and step them up ,2023-12-07T20:38:24.000Z,103,891,2500
Dell,Sustainability means getting the most from our resources. That's why the new #Latitude 5000 Series uses bioplastics sourced from trees via the papermaking process. Learn how we’re reducing our carbon footprint at the #DellTechExperience  https://dell.to/3tbzypR,2021-01-29T19:10:23.000Z,55,323,1400
Dell,"The ultra-premium #Latitude 9000 series is the world’s most intelligent PC. With innovative features like Intelligent audio, you can stay in the game at any latitude. https://dell.to/36s1GdS",2020-11-12T18:53:20.000Z,47,197,950
Dell,time flies when you're in tech ,2023-05-09T20:16:48.000Z,48,113,957
Dell,"Replying to 
@McDonalds",2023-01-26T19:38:38.000Z,7,1,901
Dell,It’s CTRL+CCCCCC and then CTRL+V,2022-12-27T14:35:01.000Z,,,
Dell,So many great #CES2020 #DellExperience moments to choose from. Here are a few of ours. What are some of yours? https://dell.to/309faYl,2020-01-10T15:57:30.000Z,7,56,804
Dell,"Step into the future, and explore the latest and greatest products and innovations in truly immersive 3D. Join the Dell Technologies Experience on 1/26 at 10 AM CST https://dell.to/3oAwWPz",2021-01-11T20:21:14.000Z,75,148,673
﻿HP,Flashback Friday from the #HParchives  Can you guess the year these HP products were introduced?,2024-02-16T19:08:11.000Z,10,4,27
HP,"You can't trust an email promising you a million bucks. But you CAN trust the #HPOfficeJetPro printer with enhanced security and faster printing. From HP, America’s most trusted printer brand. https://bit.ly/3HGD6ce",2024-02-12T15:15:23.000Z,17,9,39
HP,"HP wishes you a joyous and prosperous #LunarNewYear, celebrating the power and resilience of the Dragon!  #YearOfTheDragon",2024-02-09T21:12:06.000Z,19,16,82
HP,"Collaboration has never been better. HP and 
@PolyCompany
 meeting tools give everyone an equal seat at the table. Work Happy. https://bit.ly/4b5gy2r",2024-02-06T16:00:45.000Z,16,7,37
HP,"HP has been named a #JUST100 leader by 
@JustCapital
 and 
@CNBC
 for the 6th year in a row. This recognition underscores our dedication to innovation and our ongoing journey towards a more sustainable world – it's at the core of all we do. #AmericasMostJUST #HPGoBeyond",2024-02-05T22:30:08.000Z,7,7,30
HP,"Excited that HP will be the first brand to appear on 
@realmadrid
’s kit sleeve in 121 years of the club’s history. A new collaboration centered around: 
Community  Innovation 
Tech  Sport 
HP  Real Madrid 
Learn more: https://bit.ly/3UmfT6D",2024-02-02T16:30:19.000Z,44,279,1900
HP," +  +  +  =  
We’re thrilled to announce our collaboration with 
@realmadrid
 as their newest technology partner to accelerate digital transformation of the club and elevate the fan experience. Hala Madrid! https://bit.ly/3UmfT6D",2024-02-02T10:10:26.000Z,101,569,3400
HP,Keeping up as a freelancer in today’s world has never been easier. #HPEnvy with Smart Sense AI adapts to all you do. Work Happy. https://bit.ly/3tTPGBS,2024-01-30T10:59:16.000Z,15,12,96
﻿Lenovo,01101000 01100101 01101100 01110000 00100001 00100000 01101001 00100000 01100011 01100001 01101110 00100111 01110100 00100000 01110010 01100101 01100001 01100100 00100000 01100010 01101001 01101110 01100001 01110010 01111001,2024-02-15T14:00:00.000Z,,,
Lenovo,"TrackPoints are red
Violets are blue
Share a pic of your pet
They need some love too 

#HappyValentinesDay",2024-02-14T13:00:17.000Z,9,22,81
Lenovo,"Why swim in the secrets of the ocean when you could unlock them? 

With 
@Lenovo
 X 
@AMD
, Oceanbox built a powerful #HPC environment that allows them to reveal the ocean’s secrets.

Unlock the secrets here: https://lnv.gy/3HTVu1k
#TheDataCentered #ThinkInnovation",2024-02-08T15:39:00.000Z,10,4,18
Lenovo,Wrong answers only: What does ROM stand for? ,2024-02-06T14:00:00.000Z,,,
Lenovo,"Unlock new AI experiences with the new Lenovo Yoga Pro 9i, powered by 
@Intel
 Core Ultra.

Bring your work to life like never before with built-in AI features and stunning PureSight Pro screen: https://lnv.gy/4b3bKKO.",2024-01-31T14:00:34.000Z,17,15,41
Lenovo,404: Monday Mood not found,2024-01-29T14:00:00.000Z,,,
Lenovo,Warning: Cuteness Overload. Please boop the snoot to continue.,2024-01-27T14:00:01.000Z,12,10,83
Lenovo,"Shape your creativity and unlock new AI experiences with the new Lenovo Yoga 9i 2-in-1, powered by 
@Intel
 Core Ultra.

 PureSight OLED touchscreen
 Slim Pen
 All your go-to apps at the touch of a quick key

Learn more: https://lnv.gy/3SlILuk",2024-01-24T14:00:26.000Z,13,11,47
Lenovo,"Forget zodiac signs, what's your ThinkPad X1 Fold mode?",2024-01-22T14:00:01.000Z,4,9,40
